"","season","round_number","team","elo"
"174",2000,11,"West Coast",1515.21579346151
"175",2000,11,"Fremantle",1398.20382219049
"176",2000,11,"Western Bulldogs",1523.85778944613
"177",2000,12,"West Coast",1534.87006007486
"178",2000,12,"Carlton",1628.52962031557
"179",2000,12,"Hawthorn",1514.99894937369
"180",2000,12,"Fremantle",1372.82856229641
"181",2000,12,"Collingwood",1416.04928888129
"182",2000,12,"Geelong",1479.13509625271
"183",2000,12,"Western Bulldogs",1549.23304934021
"184",2000,12,"Melbourne",1521.54095465723
"185",2000,12,"North Melbourne",1536.25792547399
"186",2000,12,"Port Adelaide",1347.81012071338
"187",2000,12,"Brisbane Lions",1517.97339764019
"188",2000,12,"Richmond",1530.14226698478
"189",2000,12,"Essendon",1739.30081719869
"190",2000,12,"St Kilda",1410.26989302999
"191",2000,12,"Adelaide",1500.11947088202
"192",2000,12,"Sydney",1465.65913613742
"193",2000,13,"Richmond",1540.39435122808
"194",2000,13,"Adelaide",1530.09638274532
"195",2000,13,"Melbourne",1502.53840185979
"196",2000,13,"Carlton",1651.93183434531
"197",2000,13,"Port Adelaide",1351.5567411292
"198",2000,13,"Collingwood",1419.2468100321
"199",2000,13,"Sydney",1435.68222427412
"200",2000,13,"Hawthorn",1535.50832542447
"201",2000,13,"Essendon",1748.69249551881
"202",2000,13,"North Melbourne",1532.51130505816
"203",2000,13,"Fremantle",1352.31918624563
"204",2000,13,"St Kilda",1400.87821470987
"205",2000,13,"Brisbane Lions",1507.72131339689
"206",2000,13,"West Coast",1511.46784604512
"207",2000,13,"Geelong",1475.9375751019
"208",2000,13,"Western Bulldogs",1568.23560213765
"209",2000,14,"North Melbourne",1520.97324782175
"210",2000,14,"Brisbane Lions",1546.97070965475
"211",2000,14,"Melbourne",1479.34220522878
"212",2000,14,"Collingwood",1398.09580975947
"213",2000,14,"Sydney",1472.86207046669
"214",2000,14,"Essendon",1760.23055275523
"215",2000,14,"Adelaide",1540.1327718264
"216",2000,14,"Fremantle",1389.89359202235
"217",2000,14,"Carlton",1675.12803097632
"218",2000,14,"Geelong",1493.25007201217
"219",2000,14,"St Kilda",1363.30380893315
"220",2000,14,"Hawthorn",1498.32847923189
"221",2000,14,"West Coast",1472.21844978727
"222",2000,14,"Port Adelaide",1372.70774140183
"223",2000,14,"Richmond",1530.357962147
"224",2000,14,"Western Bulldogs",1550.92310522738
"225",2000,15,"Carlton",1665.7093101293
"226",2000,15,"Adelaide",1561.8123813901
"227",2000,15,"Geelong",1502.66879285919
"228",2000,15,"Brisbane Lions",1539.9964950835
"229",2000,15,"Hawthorn",1522.39616922428
